172.18.0.1 - - [12/Mar/2025:07:19:56 +0000] "GET / HTTP/1.1" 500 338386 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [12/Mar/2025:09:46:28 +0000] "POST /api/auth/login HTTP/1.1" 500 288951 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:09:46:40 +0000] "POST /api/auth/login HTTP/1.1" 500 288979 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:09:47:21 +0000] "POST /api/auth/login HTTP/1.1" 500 124705 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:09:47:51 +0000] "POST /api/auth/login HTTP/1.1" 401 35 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:09:47:58 +0000] "POST /api/auth/login HTTP/1.1" 200 387 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:20:07 +0000] "POST /api/auth/login HTTP/1.1" 200 722 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:22:40 +0000] "GET /api/auth/user HTTP/1.1" 200 201 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:23:12 +0000] "POST /api/auth/login HTTP/1.1" 200 722 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:23:57 +0000] "POST /api/auth/login HTTP/1.1" 500 16564 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:24:18 +0000] "POST /api/auth/login HTTP/1.1" 200 722 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:28:56 +0000] "POST /api/auth/login HTTP/1.1" 500 285346 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:29:04 +0000] "POST /api/auth/login HTTP/1.1" 500 285352 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:29:26 +0000] "POST /api/auth/login HTTP/1.1" 500 285294 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:29:35 +0000] "POST /api/auth/login HTTP/1.1" 500 285308 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:29:55 +0000] "POST /api/auth/login HTTP/1.1" 500 285296 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:30:13 +0000] "POST /api/auth/login HTTP/1.1" 500 87686 "-" "PostmanRuntime/7.43.0" "-"
172.18.0.1 - - [12/Mar/2025:10:30:45 +0000] "POST /api/auth/login HTTP/1.1" 500 87955 "-" "PostmanRuntime/7.43.0" "-"
